"Year","Month","Day","Time","MachineID","ComponentAttended","ServiceType"
"2017","09","23","06:00:00","MID10928","Component1","ComponentRepair"
"2017","09","23","06:00:00","MID10928","Component4","ComponentRepair"
"2017","10","08","06:00:00","MID10928","Component1","ComponentRepair"
"2017","10","23","06:00:00","MID10928","Component1","ComponentRepair"
"2017","10","23","06:00:00","MID10928","Component4","ComponentRepair"
"2017","11","07","06:00:00","MID10928","Component1","ComponentRepair"
"2017","11","07","06:00:00","MID10928","Component2","ComponentRepair"
"2017","11","22","06:00:00","MID10928","Component2","ComponentRepair"
"2017","11","22","06:00:00","MID10928","Component4","ComponentRepair"
"2016","06","01","06:00:00","MID10847","Component1","ScheduledService"
"2016","09","14","06:00:00","MID10847","Component2","ComponentRepair"
"2016","09","29","06:00:00","MID10847","Component4","ComponentRepair"
"2016","10","14","06:00:00","MID10847","Component3","ComponentRepair"
"2017","01","23","06:00:00","MID10847","Component2","ComponentRepair"
"2017","01","23","06:00:00","MID10847","Component1","ComponentRepair"
"2017","02","07","06:00:00","MID10847","Component1","ComponentRepair"
"2017","02","22","06:00:00","MID10847","Component1","ComponentRepair"
"2017","02","22","06:00:00","MID10847","Component3","ComponentRepair"
"2017","03","09","06:00:00","MID10847","Component3","ComponentRepair"
"2017","03","24","06:00:00","MID10847","Component2","ComponentRepair"
"2017","03","24","06:00:00","MID10847","Component3","ComponentRepair"
"2017","04","08","06:00:00","MID10847","Component1","ComponentRepair"
"2017","04","08","06:00:00","MID10847","Component4","ComponentRepair"
"2017","04","23","06:00:00","MID10847","Component3","ComponentRepair"
"2017","05","08","06:00:00","MID10847","Component3","ComponentRepair"
"2017","05","23","06:00:00","MID10847","Component4","ComponentRepair"
"2017","06","07","06:00:00","MID10847","Component1","ComponentRepair"
"2017","06","07","06:00:00","MID10847","Component2","ComponentRepair"
"2017","06","22","06:00:00","MID10847","Component4","ComponentRepair"
"2017","06","22","06:00:00","MID10847","Component2","ComponentRepair"
"2017","07","07","06:00:00","MID10847","Component2","ComponentRepair"
"2017","07","22","06:00:00","MID10847","Component1","ComponentRepair"
"2017","08","06","06:00:00","MID10847","Component2","ComponentRepair"
"2017","08","21","06:00:00","MID10847","Component3","ComponentRepair"
"2017","08","21","06:00:00","MID10847","Component4","ComponentRepair"
"2017","09","05","06:00:00","MID10847","Component4","ComponentRepair"
"2017","09","05","06:00:00","MID10847","Component3","ComponentRepair"
"2017","09","20","06:00:00","MID10847","Component4","ComponentRepair"
"2017","09","20","06:00:00","MID10847","Component2","ComponentRepair"
"2017","10","05","06:00:00","MID10847","Component3","ComponentRepair"
"2017","10","20","06:00:00","MID10847","Component2","ComponentRepair"
"2017","11","19","06:00:00","MID10847","Component3","ComponentRepair"
"2017","11","19","06:00:00","MID10847","Component4","ComponentRepair"
"2016","07","01","06:00:00","MID10825","Component4","ScheduledService"
"2016","09","29","06:00:00","MID10825","Component3","ComponentRepair"
"2016","10","14","06:00:00","MID10825","Component2","ComponentRepair"
"2016","11","28","06:00:00","MID10825","Component1","ComponentRepair"
"2017","01","03","06:00:00","MID10825","Component4","ComponentRepair"
"2017","01","18","06:00:00","MID10825","Component2","ComponentRepair"
"2017","02","02","06:00:00","MID10825","Component1","ComponentRepair"
"2017","02","02","06:00:00","MID10825","Component4","ComponentRepair"
"2017","02","17","06:00:00","MID10825","Component3","ComponentRepair"
"2017","02","17","06:00:00","MID10825","Component4","ComponentRepair"
"2017","03","04","06:00:00","MID10825","Component2","ComponentRepair"
"2017","03","19","06:00:00","MID10825","Component2","ComponentRepair"
"2017","03","19","06:00:00","MID10825","Component3","ComponentRepair"
"2017","04","03","06:00:00","MID10825","Component3","ComponentRepair"
"2017","04","18","06:00:00","MID10825","Component1","ComponentRepair"
"2017","04","18","06:00:00","MID10825","Component4","ComponentRepair"
"2017","05","03","06:00:00","MID10825","Component3","ComponentRepair"
"2017","05","18","06:00:00","MID10825","Component3","ComponentRepair"
"2017","06","02","06:00:00","MID10825","Component2","ComponentRepair"
"2017","06","02","06:00:00","MID10825","Component4","ComponentRepair"
"2017","06","17","06:00:00","MID10825","Component3","ComponentRepair"
"2017","07","02","06:00:00","MID10825","Component2","ComponentRepair"
"2017","07","17","06:00:00","MID10825","Component3","ComponentRepair"
"2017","08","01","06:00:00","MID10825","Component3","ScheduledService"
"2017","08","16","06:00:00","MID10825","Component4","ComponentRepair"
"2017","08","16","06:00:00","MID10825","Component2","ComponentRepair"
"2017","09","15","06:00:00","MID10825","Component3","ComponentRepair"
"2017","09","30","06:00:00","MID10825","Component2","ComponentRepair"
"2017","10","15","06:00:00","MID10825","Component3","ComponentRepair"
"2017","10","15","06:00:00","MID10825","Component4","ComponentRepair"
"2017","10","30","06:00:00","MID10825","Component2","ComponentRepair"
"2017","11","14","06:00:00","MID10825","Component3","ComponentRepair"
"2016","07","16","06:00:00","MID10828","Component3","ComponentRepair"
"2016","07","31","06:00:00","MID10828","Component4","ComponentRepair"
"2016","08","15","06:00:00","MID10828","Component2","ComponentRepair"
"2016","10","29","06:00:00","MID10828","Component1","ComponentRepair"
"2017","01","30","06:00:00","MID10828","Component1","ComponentRepair"
"2017","02","14","06:00:00","MID10828","Component2","ComponentRepair"
"2017","03","01","06:00:00","MID10828","Component1","ScheduledService"
"2017","03","16","06:00:00","MID10828","Component2","ComponentRepair"
"2017","03","31","06:00:00","MID10828","Component3","ComponentRepair"
"2017","03","31","06:00:00","MID10828","Component4","ComponentRepair"
"2017","04","15","06:00:00","MID10828","Component2","ComponentRepair"
"2017","04","15","06:00:00","MID10828","Component3","ComponentRepair"
"2017","04","30","06:00:00","MID10828","Component1","ComponentRepair"
"2017","05","15","06:00:00","MID10828","Component1","ComponentRepair"
"2017","05","30","06:00:00","MID10828","Component1","ComponentRepair"
"2017","05","30","06:00:00","MID10828","Component4","ComponentRepair"
"2017","06","14","06:00:00","MID10828","Component4","ComponentRepair"
"2017","06","29","06:00:00","MID10828","Component1","ComponentRepair"
"2017","07","14","06:00:00","MID10828","Component2","ComponentRepair"
"2017","07","29","06:00:00","MID10828","Component3","ComponentRepair"
"2017","08","13","06:00:00","MID10828","Component2","ComponentRepair"
"2017","08","13","06:00:00","MID10828","Component4","ComponentRepair"
"2017","08","28","06:00:00","MID10828","Component2","ComponentRepair"
"2017","09","12","06:00:00","MID10828","Component4","ComponentRepair"
"2017","09","27","06:00:00","MID10828","Component3","ComponentRepair"
"2017","10","12","06:00:00","MID10828","Component1","ComponentRepair"
"2017","10","12","06:00:00","MID10828","Component2","ComponentRepair"
"2017","11","11","06:00:00","MID10828","Component1","ComponentRepair"
"2017","11","26","06:00:00","MID10828","Component4","ComponentRepair"
"2016","06","01","06:00:00","MID10826","Component3","ScheduledService"
"2016","07","01","06:00:00","MID10826","Component1","ScheduledService"
"2016","09","14","06:00:00","MID10826","Component4","ComponentRepair"
"2016","11","28","06:00:00","MID10826","Component2","ComponentRepair"
"2017","01","27","06:00:00","MID10826","Component2","ComponentRepair"
"2017","01","27","06:00:00","MID10826","Component4","ComponentRepair"
"2017","02","11","06:00:00","MID10826","Component4","ComponentRepair"
"2017","02","26","06:00:00","MID10826","Component2","ComponentRepair"
"2017","02","26","06:00:00","MID10826","Component1","ComponentRepair"
"2017","03","13","06:00:00","MID10826","Component4","ComponentRepair"
"2017","03","28","06:00:00","MID10826","Component3","ComponentRepair"
"2017","04","12","06:00:00","MID10826","Component2","ComponentRepair"
"2017","04","27","06:00:00","MID10826","Component2","ComponentRepair"
"2017","05","12","06:00:00","MID10826","Component4","ComponentRepair"
"2017","05","27","06:00:00","MID10826","Component1","ComponentRepair"
"2017","05","27","06:00:00","MID10826","Component3","ComponentRepair"
"2017","06","11","06:00:00","MID10826","Component1","ComponentRepair"
"2017","06","26","06:00:00","MID10826","Component4","ComponentRepair"
"2017","06","26","06:00:00","MID10826","Component2","ComponentRepair"
"2017","07","11","06:00:00","MID10826","Component3","ComponentRepair"
"2017","07","26","06:00:00","MID10826","Component3","ComponentRepair"
"2017","07","26","06:00:00","MID10826","Component4","ComponentRepair"
"2017","08","10","06:00:00","MID10826","Component2","ComponentRepair"
"2017","08","25","06:00:00","MID10826","Component3","ComponentRepair"
"2017","09","09","06:00:00","MID10826","Component2","ComponentRepair"
"2017","09","09","06:00:00","MID10826","Component4","ComponentRepair"
"2017","09","24","06:00:00","MID10826","Component2","ComponentRepair"
"2017","10","09","06:00:00","MID10826","Component2","ComponentRepair"
"2017","10","24","06:00:00","MID10826","Component4","ComponentRepair"
"2017","11","23","06:00:00","MID10826","Component3","ComponentRepair"
"2017","11","23","06:00:00","MID10826","Component1","ComponentRepair"
"2016","06","16","06:00:00","MID10913","Component3","ComponentRepair"
"2016","08","30","06:00:00","MID10913","Component1","ComponentRepair"
"2016","10","14","06:00:00","MID10913","Component4","ComponentRepair"
"2016","10","29","06:00:00","MID10913","Component2","ComponentRepair"
"2017","01","15","06:00:00","MID10913","Component1","ComponentRepair"
"2017","01","30","06:00:00","MID10913","Component3","ComponentRepair"
"2017","02","14","06:00:00","MID10913","Component1","ComponentRepair"
"2017","03","16","06:00:00","MID10913","Component4","ComponentRepair"
"2017","03","31","06:00:00","MID10913","Component3","ComponentRepair"
"2017","04","15","06:00:00","MID10913","Component4","ComponentRepair"
"2017","04","15","06:00:00","MID10913","Component2","ComponentRepair"
"2017","04","30","06:00:00","MID10913","Component1","ComponentRepair"
"2017","05","15","06:00:00","MID10913","Component3","ComponentRepair"
"2017","05","30","06:00:00","MID10913","Component2","ComponentRepair"
"2017","06","14","06:00:00","MID10913","Component4","ComponentRepair"
"2017","06","14","06:00:00","MID10913","Component3","ComponentRepair"
"2017","07","14","06:00:00","MID10913","Component2","ComponentRepair"
"2017","07","29","06:00:00","MID10913","Component4","ComponentRepair"
"2017","08","13","06:00:00","MID10913","Component2","ComponentRepair"
"2017","08","28","06:00:00","MID10913","Component4","ComponentRepair"
"2017","08","28","06:00:00","MID10913","Component3","ComponentRepair"
"2017","09","12","06:00:00","MID10913","Component2","ComponentRepair"
"2017","09","27","06:00:00","MID10913","Component3","ComponentRepair"
"2017","10","12","06:00:00","MID10913","Component3","ComponentRepair"
"2017","10","27","06:00:00","MID10913","Component1","ComponentRepair"
"2017","10","27","06:00:00","MID10913","Component2","ComponentRepair"
"2017","11","11","06:00:00","MID10913","Component1","ComponentRepair"
"2017","11","26","06:00:00","MID10913","Component4","ComponentRepair"
"2016","10","29","06:00:00","MID10869","Component3","ComponentRepair"
"2016","11","28","06:00:00","MID10869","Component2","ComponentRepair"
"2016","11","28","06:00:00","MID10869","Component4","ComponentRepair"
"2016","12","13","06:00:00","MID10869","Component1","ComponentRepair"
"2017","01","06","06:00:00","MID10869","Component1","ComponentRepair"
"2017","01","21","06:00:00","MID10869","Component4","ComponentRepair"
"2017","02","05","06:00:00","MID10869","Component4","ComponentRepair"
"2017","02","20","06:00:00","MID10869","Component4","ComponentRepair"
"2017","03","07","06:00:00","MID10869","Component4","ComponentRepair"
"2017","03","07","06:00:00","MID10869","Component1","ComponentRepair"
"2017","03","22","06:00:00","MID10869","Component2","ComponentRepair"
"2017","04","06","06:00:00","MID10869","Component3","ComponentRepair"
"2017","04","21","06:00:00","MID10869","Component4","ComponentRepair"
"2017","05","06","06:00:00","MID10869","Component2","ComponentRepair"
"2017","05","06","06:00:00","MID10869","Component3","ComponentRepair"
"2017","05","21","06:00:00","MID10869","Component1","ComponentRepair"
"2017","05","21","06:00:00","MID10869","Component4","ComponentRepair"
"2017","06","05","06:00:00","MID10869","Component2","ComponentRepair"
"2017","06","20","06:00:00","MID10869","Component1","ComponentRepair"
"2017","07","05","06:00:00","MID10869","Component3","ComponentRepair"
"2017","07","20","06:00:00","MID10869","Component4","ComponentRepair"
"2017","08","04","06:00:00","MID10869","Component2","ComponentRepair"
"2017","08","19","06:00:00","MID10869","Component1","ComponentRepair"
"2017","09","03","06:00:00","MID10869","Component3","ComponentRepair"
"2017","09","03","06:00:00","MID10869","Component4","ComponentRepair"
"2017","09","18","06:00:00","MID10869","Component3","ComponentRepair"
"2017","10","03","06:00:00","MID10869","Component2","ComponentRepair"
"2017","10","18","06:00:00","MID10869","Component4","ComponentRepair"
"2017","11","02","06:00:00","MID10869","Component2","ComponentRepair"
"2017","11","17","06:00:00","MID10869","Component1","ComponentRepair"
"2016","06","16","06:00:00","MID10827","Component3","ComponentRepair"
"2016","07","01","06:00:00","MID10827","Component1","ScheduledService"
"2016","08","30","06:00:00","MID10827","Component2","ComponentRepair"
"2016","09","29","06:00:00","MID10827","Component4","ComponentRepair"
"2017","01","18","06:00:00","MID10827","Component1","ComponentRepair"
"2017","02","02","06:00:00","MID10827","Component4","ComponentRepair"
"2017","02","17","06:00:00","MID10827","Component3","ComponentRepair"
"2017","03","04","06:00:00","MID10827","Component2","ComponentRepair"
"2017","04","03","06:00:00","MID10827","Component4","ComponentRepair"
"2017","04","18","06:00:00","MID10827","Component2","ComponentRepair"
"2017","05","03","06:00:00","MID10827","Component1","ComponentRepair"
"2017","06","02","06:00:00","MID10827","Component4","ComponentRepair"
"2017","06","02","06:00:00","MID10827","Component2","ComponentRepair"
"2017","06","17","06:00:00","MID10827","Component4","ComponentRepair"
"2017","06","17","06:00:00","MID10827","Component3","ComponentRepair"
"2017","07","02","06:00:00","MID10827","Component1","ComponentRepair"
"2017","07","02","06:00:00","MID10827","Component2","ComponentRepair"
"2017","07","17","06:00:00","MID10827","Component1","ComponentRepair"
"2017","07","17","06:00:00","MID10827","Component3","ComponentRepair"
"2017","08","01","06:00:00","MID10827","Component4","ScheduledService"
"2017","08","01","06:00:00","MID10827","Component1","ScheduledService"
"2017","08","31","06:00:00","MID10827","Component1","ComponentRepair"
"2017","09","15","06:00:00","MID10827","Component3","ComponentRepair"
"2017","09","30","06:00:00","MID10827","Component4","ComponentRepair"
"2017","09","30","06:00:00","MID10827","Component3","ComponentRepair"
"2017","10","15","06:00:00","MID10827","Component2","ComponentRepair"
"2017","10","15","06:00:00","MID10827","Component1","ComponentRepair"
"2017","10","30","06:00:00","MID10827","Component2","ComponentRepair"
"2017","10","30","06:00:00","MID10827","Component4","ComponentRepair"
"2017","11","14","06:00:00","MID10827","Component1","ComponentRepair"
"2017","11","29","06:00:00","MID10827","Component1","ComponentRepair"
"2016","10","29","06:00:00","MID10914","Component4","ComponentRepair"
"2016","11","28","06:00:00","MID10914","Component2","ComponentRepair"
"2016","12","13","06:00:00","MID10914","Component1","ComponentRepair"
"2016","12","13","06:00:00","MID10914","Component3","ComponentRepair"
"2017","01","01","06:00:00","MID10914","Component2","ScheduledService"
"2017","01","16","06:00:00","MID10914","Component2","ComponentRepair"
"2017","01","31","06:00:00","MID10914","Component4","ComponentRepair"
"2017","02","15","06:00:00","MID10914","Component3","ComponentRepair"
"2017","02","15","06:00:00","MID10914","Component1","ComponentRepair"
"2017","03","02","06:00:00","MID10914","Component3","ComponentRepair"
"2017","03","17","06:00:00","MID10914","Component1","ComponentRepair"
"2017","03","17","06:00:00","MID10914","Component3","ComponentRepair"
"2017","04","01","06:00:00","MID10914","Component2","ScheduledService"
"2017","04","01","06:00:00","MID10914","Component3","ScheduledService"
"2017","04","16","06:00:00","MID10914","Component3","ComponentRepair"
"2017","05","01","06:00:00","MID10914","Component3","ScheduledService"
"2017","05","16","06:00:00","MID10914","Component2","ComponentRepair"
"2017","05","31","06:00:00","MID10914","Component2","ComponentRepair"
"2017","06","15","06:00:00","MID10914","Component1","ComponentRepair"
"2017","06","15","06:00:00","MID10914","Component2","ComponentRepair"
"2017","06","30","06:00:00","MID10914","Component4","ComponentRepair"
"2017","06","30","06:00:00","MID10914","Component3","ComponentRepair"
"2017","07","15","06:00:00","MID10914","Component4","ComponentRepair"
"2017","07","15","06:00:00","MID10914","Component2","ComponentRepair"
"2017","07","30","06:00:00","MID10914","Component4","ComponentRepair"
"2017","08","14","06:00:00","MID10914","Component1","ComponentRepair"
"2017","09","13","06:00:00","MID10914","Component2","ComponentRepair"
"2017","09","13","06:00:00","MID10914","Component3","ComponentRepair"
"2017","09","28","06:00:00","MID10914","Component3","ComponentRepair"
"2017","09","28","06:00:00","MID10914","Component4","ComponentRepair"
"2017","10","13","06:00:00","MID10914","Component3","ComponentRepair"
"2017","10","28","06:00:00","MID10914","Component2","ComponentRepair"
"2017","11","12","06:00:00","MID10914","Component1","ComponentRepair"
"2017","11","12","06:00:00","MID10914","Component2","ComponentRepair"
"2017","11","27","06:00:00","MID10914","Component1","ComponentRepair"
"2017","11","27","06:00:00","MID10914","Component2","ComponentRepair"
"2016","08","15","06:00:00","MID10903","Component4","ComponentRepair"
"2016","08","30","06:00:00","MID10903","Component1","ComponentRepair"
"2016","11","13","06:00:00","MID10903","Component2","ComponentRepair"
"2016","11","13","06:00:00","MID10903","Component3","ComponentRepair"
"2017","01","17","06:00:00","MID10903","Component2","ComponentRepair"
"2017","01","17","06:00:00","MID10903","Component4","ComponentRepair"
"2017","02","01","06:00:00","MID10903","Component2","ScheduledService"
"2017","02","16","06:00:00","MID10903","Component4","ComponentRepair"
"2017","03","03","06:00:00","MID10903","Component2","ComponentRepair"
"2017","03","03","06:00:00","MID10903","Component4","ComponentRepair"
"2017","03","18","06:00:00","MID10903","Component1","ComponentRepair"
"2017","04","02","06:00:00","MID10903","Component4","ComponentRepair"
"2017","04","17","06:00:00","MID10903","Component3","ComponentRepair"
"2017","05","02","06:00:00","MID10903","Component3","ComponentRepair"
"2017","05","17","06:00:00","MID10903","Component1","ComponentRepair"
"2017","05","17","06:00:00","MID10903","Component2","ComponentRepair"
"2017","06","01","06:00:00","MID10903","Component3","ScheduledService"
"2017","07","01","06:00:00","MID10903","Component2","ScheduledService"
"2017","07","16","06:00:00","MID10903","Component2","ComponentRepair"
"2017","07","31","06:00:00","MID10903","Component1","ComponentRepair"
"2017","08","15","06:00:00","MID10903","Component1","ComponentRepair"
"2017","08","30","06:00:00","MID10903","Component1","ComponentRepair"
"2017","08","30","06:00:00","MID10903","Component4","ComponentRepair"
"2017","09","14","06:00:00","MID10903","Component4","ComponentRepair"
"2017","09","29","06:00:00","MID10903","Component4","ComponentRepair"
"2017","09","29","06:00:00","MID10903","Component3","ComponentRepair"
"2017","10","14","06:00:00","MID10903","Component1","ComponentRepair"
"2017","11","13","06:00:00","MID10903","Component3","ComponentRepair"
"2017","11","28","06:00:00","MID10903","Component4","ComponentRepair"
"2016","06","01","06:00:00","MID10841","Component1","ScheduledService"
"2016","06","16","06:00:00","MID10841","Component3","ComponentRepair"
"2016","07","01","06:00:00","MID10841","Component2","ScheduledService"
"2016","08","30","06:00:00","MID10841","Component4","ComponentRepair"
"2017","01","27","06:00:00","MID10841","Component3","ComponentRepair"
"2017","02","11","06:00:00","MID10841","Component2","ComponentRepair"
"2017","02","26","06:00:00","MID10841","Component2","ComponentRepair"
"2017","03","13","06:00:00","MID10841","Component2","ComponentRepair"
"2017","03","28","06:00:00","MID10841","Component3","ComponentRepair"
"2017","04","12","06:00:00","MID10841","Component1","ComponentRepair"
"2017","04","12","06:00:00","MID10841","Component4","ComponentRepair"
"2017","04","27","06:00:00","MID10841","Component2","ComponentRepair"
"2017","05","12","06:00:00","MID10841","Component1","ComponentRepair"
"2017","05","27","06:00:00","MID10841","Component3","ComponentRepair"
"2017","05","27","06:00:00","MID10841","Component1","ComponentRepair"
"2017","06","11","06:00:00","MID10841","Component2","ComponentRepair"
"2017","06","26","06:00:00","MID10841","Component2","ComponentRepair"
"2017","07","11","06:00:00","MID10841","Component1","ComponentRepair"
"2017","08","10","06:00:00","MID10841","Component2","ComponentRepair"
"2017","08","10","06:00:00","MID10841","Component4","ComponentRepair"
"2017","08","25","06:00:00","MID10841","Component2","ComponentRepair"
"2017","09","09","06:00:00","MID10841","Component1","ComponentRepair"
"2017","09","09","06:00:00","MID10841","Component4","ComponentRepair"
"2017","09","24","06:00:00","MID10841","Component2","ComponentRepair"
"2017","10","09","06:00:00","MID10841","Component2","ComponentRepair"
"2017","10","09","06:00:00","MID10841","Component1","ComponentRepair"
"2017","10","24","06:00:00","MID10841","Component2","ComponentRepair"
"2017","10","24","06:00:00","MID10841","Component4","ComponentRepair"
"2017","11","08","06:00:00","MID10841","Component2","ComponentRepair"
"2017","11","08","06:00:00","MID10841","Component4","ComponentRepair"
"2017","11","23","06:00:00","MID10841","Component1","ComponentRepair"
"2016","09","29","06:00:00","MID10820","Component3","ComponentRepair"
"2016","11","13","06:00:00","MID10820","Component1","ComponentRepair"
"2016","11","28","06:00:00","MID10820","Component2","ComponentRepair"
"2016","12","13","06:00:00","MID10820","Component4","ComponentRepair"
"2017","01","08","06:00:00","MID10820","Component1","ComponentRepair"
"2017","01","23","06:00:00","MID10820","Component4","ComponentRepair"
"2017","02","07","06:00:00","MID10820","Component3","ComponentRepair"
"2017","02","22","06:00:00","MID10820","Component4","ComponentRepair"
"2017","02","22","06:00:00","MID10820","Component3","ComponentRepair"
"2017","03","09","06:00:00","MID10820","Component3","ComponentRepair"
"2017","03","24","06:00:00","MID10820","Component2","ComponentRepair"
"2017","03","24","06:00:00","MID10820","Component4","ComponentRepair"
"2017","04","23","06:00:00","MID10820","Component3","ComponentRepair"
"2017","05","08","06:00:00","MID10820","Component4","ComponentRepair"
"2017","05","08","06:00:00","MID10820","Component1","ComponentRepair"
"2017","05","23","06:00:00","MID10820","Component4","ComponentRepair"
"2017","06","07","06:00:00","MID10820","Component4","ComponentRepair"
"2017","06","07","06:00:00","MID10820","Component2","ComponentRepair"
"2017","06","22","06:00:00","MID10820","Component1","ComponentRepair"
"2017","07","07","06:00:00","MID10820","Component3","ComponentRepair"
"2017","07","07","06:00:00","MID10820","Component1","ComponentRepair"
"2017","07","22","06:00:00","MID10820","Component3","ComponentRepair"
"2017","08","06","06:00:00","MID10820","Component4","ComponentRepair"
"2017","08","06","06:00:00","MID10820","Component3","ComponentRepair"
"2017","08","21","06:00:00","MID10820","Component3","ComponentRepair"
"2017","09","05","06:00:00","MID10820","Component1","ComponentRepair"
"2017","10","05","06:00:00","MID10820","Component3","ComponentRepair"
"2017","11","04","06:00:00","MID10820","Component1","ComponentRepair"
"2017","11","04","06:00:00","MID10820","Component3","ComponentRepair"
"2017","11","19","06:00:00","MID10820","Component1","ComponentRepair"
"2017","11","19","06:00:00","MID10820","Component4","ComponentRepair"
"2016","06","16","06:00:00","MID10811","Component1","ComponentRepair"
"2016","07","16","06:00:00","MID10811","Component4","ComponentRepair"
"2016","08","30","06:00:00","MID10811","Component3","ComponentRepair"
"2016","11","13","06:00:00","MID10811","Component2","ComponentRepair"
"2017","01","18","06:00:00","MID10811","Component3","ComponentRepair"
"2017","02","02","06:00:00","MID10811","Component4","ComponentRepair"
"2017","02","17","06:00:00","MID10811","Component3","ComponentRepair"
"2017","03","04","06:00:00","MID10811","Component4","ComponentRepair"
"2017","03","04","06:00:00","MID10811","Component3","ComponentRepair"
